MANAGER,MYU,512 B; 75% Read; 0% random,,1,1,47199.151846,23599.557626,23599.594220,23.046461,11.523221,11.523239,24.165966,12.082974,12.082992,47199.151846,0.000000,0.042073,0.039121,0.045026,0.042073,0.000000,22.703580,20.703581,22.703580,22.703580,0.000000,0,0,0,217548800,217548800,424900,424900,0,-1,40516988,46633421,87150409,0,50465,55340,55340,0,43886203,18446744073709551615,18446744073709551615,1,76.144348,25.027814,51.054135,0.151947,0.434134,2437501.000000,54266.975109,619.864157,17.115291,0.000000,2.222765,653218,186868,7342,1905,256,75,65,46,20,3,2,0,0,0,0,0,0,0,0,0,0
PROCESSOR,CPU 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.074751,22.748611,56.263741,0.607787,0.955094,2437501.000000,15642.709095,,,,
PROCESSOR,CPU 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.520823,26.568989,44.889435,0.000000,0.434134,2437501.000000,12074.282071,,,,
PROCESSOR,CPU 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.556775,24.224666,52.269710,0.000000,0.173654,2437501.000000,12386.969546,,,,
PROCESSOR,CPU 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.425042,26.568989,50.793655,0.000000,0.173654,2437501.000000,14163.014396,,,,
WORKER,Worker 5,512 B; 75% Read; 0% random,,,1,23599.539356,17703.986746,5895.552610,11.523213,8.644525,2.878688,12.082964,9.064441,3.018523,23599.539356,0.000000,0.042026,0.034712,0.063989,0.042026,0.000000,20.703581,20.703581,12.363482,20.703581,0.000000,0,0,0,163201536,54347264,318753,106147,0,-1,26970131,16556054,43526185,0,50465,30136,50465,0,43886203,18446744073709551615,18446744073709551615,1,,,,,,2437501.000000,,,,,,315915,103928,3729,1057,158,45,34,20,10,3,1,0,0,0,0,0,0,0,0,0,0
NETWORK,MYU:192.168.254.1 >> MYU:192.168.254.1,,,,,23599.539356,17703.986746,5895.552610,11.523213,8.644525,2.878688,12.082964,9.064441,3.018523,23599.539356,0.000000,0.042026,0.034712,0.063989,0.042026,0.000000,20.703581,20.703581,12.363482,20.703581,0.000000,0,0,0,163201536,54347264,318753,106147,0,-1,26970131,16556054,43526185,0,50465,30136,50465,0,43886203,18446744073709551615,18446744073709551615,1,,,,,,2437501.000000,,,,,,315915,103928,3729,1057,158,45,34,20,10,3,1,0,0,0,0,0,0,0,0,0,0
WORKER,[Worker 5],512 B; 75% Read; 0% random,,,1,23599.612490,5895.570880,17704.041610,11.523248,2.878697,8.644552,12.083002,3.018532,9.064469,23599.612490,0.000000,0.042121,0.052358,0.038712,0.042121,0.000000,22.703580,14.222353,22.703580,22.703580,0.000000,0,0,0,54347264,163201536,106147,318753,0,-1,13546857,30077367,43624224,0,34667,55340,55340,0,43886067,18446744073709551615,18446744073709551615,1,,,,,,2437501.000000,,,,,,337303,82940,3613,848,98,30,31,26,10,0,1,0,0,0,0,0,0,0,0,0,0
'Time Stamp
2018-11-18 21:44:24:999
'Access specifications
'Access specification name,default assignment
512 B; 50% Read; 0% random,0
'size,% of size,% reads,% random,delay,burst,align,reply
512,100,50,0,0,1,0,0,
'End access specifications
'Results
'Target Type,Target Name,Access Specification Name,# Managers,# Workers,# Disks,IOps,Read IOps,Write IOps,MiBps (Binary),Read MiBps (Binary),Write MiBps (Binary),MBps (Decimal),Read MBps (Decimal),Write MBps (Decimal),Transactions per Second,Connections per Second,Average Response Time,Average Read Response Time,Average Write Response Time,Average Transaction Time,Average Connection Time,Maximum Response Time,Maximum Read Response Time,Maximum Write Response Time,Maximum Transaction Time,Maximum Connection Time,Errors,Read Errors,Write Errors,Bytes Read,Bytes Written,Read I/Os,Write I/Os,Connections,Transactions per Connection,Total Raw Read Response Time,Total Raw Write Response Time,Total Raw Transaction Time,Total Raw Connection Time,Maximum Raw Read Response Time,Maximum Raw Write Response Time,Maximum Raw Transaction Time,Maximum Raw Connection Time,Total Raw Run Time,Starting Sector,Maximum Size,Queue Depth,% CPU Utilization,% User Time,% Privileged Time,% DPC Time,% Interrupt Time,Processor Speed,Interrupts per Second,CPU Effectiveness,Packets/Second,Packet Errors,Segments Retransmitted/Second,0 to 50 uS,50 to 100 uS,100 to 200 uS,200 to 500 uS,0.5 to 1 mS,1 to 2 mS,2 to 5 mS,5 to 10 mS,10 to 15 mS,15 to 20 mS,20 to 30 mS,30 to 50 mS,50 to 100 mS,100 to 200 mS,200 to 500 mS,0.5 to 1 S,1 to 2 s,2 to 4.7 s,4.7 to 5 s,5 to 10 s, >= 10 s
ALL,All,512 B; 50% Read; 0% random,1,1,1,47072.311459,23536.120366,23536.191093,22.984527,11.492246,11.492281,24.101023,12.050494,12.050530,47072.311459,0.000000,0.042211,0.038135,0.046287,0.042211,0.000000,18.783172,18.783172,5.746049,18.783172,0.000000,0,0,0,170499072,170499584,333006,333007,0,-1,,,,,,,,,,18446744073709551615,18446744073709551615,1,62.538099,19.808394,42.738614,0.110507,0.248641,,48882.250830,752.698149,3.536227,0.000000,2.333910,483406,181360,913,145,60,71,28,19,8,3,0,0,0,0,0,0,0,0,0,0,0
MANAGER,MYU,512 B; 50% Read; 0% random,,1,1,47072.311459,23536.120366,23536.191093,22.984527,11.492246,11.492281,24.101023,12.050494,12.050530,47072.311459,0.000000,0.042211,0.038135,0.046287,0.042211,0.000000,18.783172,18.783172,5.746049,18.783172,0.000000,0,0,0,170499072,170499584,333006,333007,0,-1,30954228,37571675,68525903,0,45784,14006,45784,0,34487586,18446744073709551615,18446744073709551615,1,62.538099,19.808394,42.738614,0.110507,0.248641,2437501.000000,48882.250830,752.698149,3.536227,0.000000,2.333910,483406,181360,913,145,60,71,28,19,8,3,0,0,0,0,0,0,0,0,0,0,0
PROCESSOR,CPU 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.433028,17.570626,43.871312,0.442028,0.331521,2437501.000000,11760.428898,,,,
PROCESSOR,CPU 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.869620,22.211924,40.666606,0.000000,0.442028,2437501.000000,13020.174273,,,,
PROCESSOR,CPU 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.500045,19.007218,50.501737,0.000000,0.110507,2437501.000000,13493.604294,,,,
PROCESSOR,CPU 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.349703,20.443810,35.914802,0.000000,0.110507,2437501.000000,10608.043365,,,,
WORKER,Worker 5,512 B; 50% Read; 0% random,,,1,23536.147050,11774.681884,11761.465166,11.492259,5.749356,5.742903,12.050507,6.028637,6.021870,23536.147050,0.000000,0.042176,0.030009,0.054357,0.042176,0.000000,13.233636,13.233636,5.746049,13.233636,0.000000,0,0,0,85297664,85201920,166597,166410,0,-1,12186174,22048667,34234841,0,32257,14006,32257,0,34487586,18446744073709551615,18446744073709551615,1,,,,,,2437501.000000,,,,,,225473,106924,446,70,32,32,13,10,7,0,0,0,0,0,0,0,0,0,0,0,0
NETWORK,MYU:192.168.254.1 >> MYU:192.168.254.1,,,,,23536.147050,11774.681884,11761.465166,11.492259,5.749356,5.742903,12.050507,6.028637,6.021870,23536.147050,0.000000,0.042176,0.030009,0.054357,0.042176,0.000000,13.233636,13.233636,5.746049,13.233636,0.000000,0,0,0,85297664,85201920,166597,166410,0,-1,12186174,22048667,34234841,0,32257,14006,32257,0,34487586,18446744073709551615,18446744073709551615,1,,,,,,2437501.000000,,,,,,225473,106924,446,70,32,32,13,10,7,0,0,0,0,0,0,0,0,0,0,0,0
WORKER,[Worker 5],512 B; 50% Read; 0% random,,,1,23536.164409,11761.438482,11774.725927,11.492268,5.742890,5.749378,12.050516,6.021857,6.028660,23536.164409,0.000000,0.042246,0.046270,0.038226,0.042246,0.000000,18.783172,18.783172,5.350562,18.783172,0.000000,0,0,0,85201408,85297664,166409,166597,0,-1,18768054,15523008,34291062,0,45784,13042,45784,0,34487457,18446744073709551615,18446744073709551615,1,,,,,,2437501.000000,,,,,,257933,74436,467,75,28,39,15,9,1,3,0,0,0,0,0,0,0,0,0,0,0
'Time Stamp
2018-11-18 21:44:40:422
'Access specifications
'Access specification name,default assignment
512 B; 25% Read; 0% random,0
'size,% of size,% reads,% random,delay,burst,align,reply
512,100,25,0,0,1,0,0,
'End access specifications
'Results
'Target Type,Target Name,Access Specification Name,# Managers,# Workers,# Disks,IOps,Read IOps,Write IOps,MiBps (Binary),Read MiBps (Binary),Write MiBps (Binary),MBps (Decimal),Read MBps (Decimal),Write MBps (Decimal),Transactions per Second,Connections per Second,Average Response Time,Average Read Response Time,Average Write Response Time,Average Transaction Time,Average Connection Time,Maximum Response Time,Maximum Read Response Time,Maximum Write Response Time,Maximum Transaction Time,Maximum Connection Time,Errors,Read Errors,Write Errors,Bytes Read,Bytes Written,Read I/Os,Write I/Os,Connections,Transactions per Connection,Total Raw Read Response Time,Total Raw Write Response Time,Total Raw Transaction Time,Total Raw Connection Time,Maximum Raw Read Response Time,Maximum Raw Write Response Time,Maximum Raw Transaction Time,Maximum Raw Connection Time,Total Raw Run Time,Starting Sector,Maximum Size,Queue Depth,% CPU Utilization,% User Time,% Privileged Time,% DPC Time,% Interrupt Time,Processor Speed,Interrupts per Second,CPU Effectiveness,Packets/Second,Packet Errors,Segments Retransmitted/Second,0 to 50 uS,50 to 100 uS,100 to 200 uS,200 to 500 uS,0.5 to 1 mS,1 to 2 mS,2 to 5 mS,5 to 10 mS,10 to 15 mS,15 to 20 mS,20 to 30 mS,30 to 50 mS,50 to 100 mS,100 to 200 mS,200 to 500 mS,0.5 to 1 S,1 to 2 s,2 to 4.7 s,4.7 to 5 s,5 to 10 s, >= 10 s
ALL,All,512 B; 25% Read; 0% random,1,1,1,42031.670108,21015.852041,21015.818068,20.523276,10.261647,10.261630,21.520215,10.760116,10.760099,42031.670108,0.000000,0.047284,0.044280,0.050288,0.047284,0.000000,18.842249,18.842249,6.105844,18.842249,0.000000,0,0,0,129316864,129316864,252572,252572,0,-1,,,,,,,,,,18446744073709551615,18446744073709551615,1,63.960302,20.849681,43.163068,0.065054,0.422848,,47575.774286,657.152469,4.996117,0.000000,4.329968,309730,194607,651,99,2,0,29,20,5,1,0,0,0,0,0,0,0,0,0,0,0
MANAGER,MYU,512 B; 25% Read; 0% random,,1,1,42031.670108,21015.852041,21015.818068,20.523276,10.261647,10.261630,21.520215,10.760116,10.760099,42031.670108,0.000000,0.047284,0.044280,0.050288,0.047284,0.000000,18.842249,18.842249,6.105844,18.842249,0.000000,0,0,0,129316864,129316864,252572,252572,0,-1,27260558,30959608,58220166,0,45928,14883,45928,0,29294363,18446744073709551615,18446744073709551615,1,63.960302,20.849681,43.163068,0.065054,0.422848,2437501.000000,47575.774286,657.152469,4.996117,0.000000,4.329968,309730,194607,651,99,2,0,29,20,5,1,0,0,0,0,0,0,0,0,0,0,0
PROCESSOR,CPU 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.822660,19.255868,47.619241,0.000000,0.910751,2437501.000000,15255.809908,,,,
PROCESSOR,CPU 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.919444,22.638655,40.333236,0.130107,0.000000,2437501.000000,9537.087811,,,,
PROCESSOR,CPU 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.893654,22.378441,33.567661,0.130107,0.780643,2437501.000000,12830.195087,,,,
PROCESSOR,CPU 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.205448,19.125761,51.132135,0.000000,0.000000,2437501.000000,9952.681480,,,,
WORKER,Worker 5,512 B; 25% Read; 0% random,,,1,21015.800978,5269.926021,15745.874957,10.261622,2.573206,7.688416,10.760090,2.698202,8.061888,21015.800978,0.000000,0.047262,0.031473,0.052546,0.047262,0.000000,18.842249,18.842249,6.061946,18.842249,0.000000,0,0,0,32427520,96889344,63335,189237,0,-1,4858740,24237819,29096559,0,45928,14776,45928,0,29294363,18446744073709551615,18446744073709551615,1,,,,,,2437501.000000,,,,,,147366,104912,226,42,1,0,12,9,3,1,0,0,0,0,0,0,0,0,0,0,0
NETWORK,MYU:192.168.254.1 >> MYU:192.168.254.1,,,,,21015.800978,5269.926021,15745.874957,10.261622,2.573206,7.688416,10.760090,2.698202,8.061888,21015.800978,0.000000,0.047262,0.031473,0.052546,0.047262,0.000000,18.842249,18.842249,6.061946,18.842249,0.000000,0,0,0,32427520,96889344,63335,189237,0,-1,4858740,24237819,29096559,0,45928,14776,45928,0,29294363,18446744073709551615,18446744073709551615,1,,,,,,2437501.000000,,,,,,147366,104912,226,42,1,0,12,9,3,1,0,0,0,0,0,0,0,0,0,0,0
WORKER,[Worker 5],512 B; 25% Read; 0% random,,,1,21015.869131,15745.926020,5269.943111,10.261655,7.688440,2.573214,10.760125,8.061914,2.698211,21015.869131,0.000000,0.047306,0.048566,0.043541,0.047306,0.000000,13.391995,13.391995,6.105844,13.391995,0.000000,0,0,0,96889344,32427520,189237,63335,0,-1,22401818,6721789,29123607,0,32643,14883,32643,0,29294268,18446744073709551615,18446744073709551615,1,,,,,,2437501.000000,,,,,,162364,89695,425,57,1,0,17,11,2,0,0,0,0,0,0,0,0,0,0,0,0
'Time Stamp
2018-11-18 21:44:52:680
'Access specifications
'Access specification name,default assignment
512 B; 0% Read; 0% random,0
'size,% of size,% reads,% random,delay,burst,align,reply
512,100,0,0,0,1,0,0,
'End access specifications
'Results
'Target Type,Target Name,Access Specification Name,# Managers,# Workers,# Disks,IOps,Read IOps,Write IOps,MiBps (Binary),Read MiBps (Binary),Write MiBps (Binary),MBps (Decimal),Read MBps (Decimal),Write MBps (Decimal),Transactions per Second,Connections per Second,Average Response Time,Average Read Response Time,Average Write Response Time,Average Transaction Time,Average Connection Time,Maximum Response Time,Maximum Read Response Time,Maximum Write Response Time,Maximum Transaction Time,Maximum Connection Time,Errors,Read Errors,Write Errors,Bytes Read,Bytes Written,Read I/Os,Write I/Os,Connections,Transactions per Connection,Total Raw Read Response Time,Total Raw Write Response Time,Total Raw Transaction Time,Total Raw Connection Time,Maximum Raw Read Response Time,Maximum Raw Write Response Time,Maximum Raw Transaction Time,Maximum Raw Connection Time,Total Raw Run Time,Starting Sector,Maximum Size,Queue Depth,% CPU Utilization,% User Time,% Privileged Time,% DPC Time,% Interrupt Time,Processor Speed,Interrupts per Second,CPU Effectiveness,Packets/Second,Packet Errors,Segments Retransmitted/Second,0 to 50 uS,50 to 100 uS,100 to 200 uS,200 to 500 uS,0.5 to 1 mS,1 to 2 mS,2 to 5 mS,5 to 10 mS,10 to 15 mS,15 to 20 mS,20 to 30 mS,30 to 50 mS,50 to 100 mS,100 to 200 mS,200 to 500 mS,0.5 to 1 S,1 to 2 s,2 to 4.7 s,4.7 to 5 s,5 to 10 s, >= 10 s
ALL,All,512 B; 0% Read; 0% random,1,1,1,37409.214184,18704.634531,18704.579653,18.266218,9.133122,9.133096,19.153518,9.576773,9.576745,37409.214184,0.000000,0.053146,0.053172,0.053121,0.053146,0.000000,14.729020,14.729020,7.003484,14.729020,0.000000,0,0,0,162456576,162456064,317298,317297,0,-1,,,,,,,,,,18446744073709551615,18446744073709551615,1,64.129176,23.107538,41.100545,0.069115,0.322538,,43549.680856,583.341566,4.482355,0.000000,2.830961,284815,345244,3906,451,72,38,28,36,5,0,0,0,0,0,0,0,0,0,0,0,0
MANAGER,MYU,512 B; 0% Read; 0% random,,1,1,37409.214184,18704.634531,18704.579653,18.266218,9.133122,9.133096,19.153518,9.576773,9.576745,37409.214184,0.000000,0.053146,0.053172,0.053121,0.053146,0.000000,14.729020,14.729020,7.003484,14.729020,0.000000,0,0,0,162456576,162456064,317298,317297,0,-1,41124222,41084092,82208314,0,35902,17071,35902,0,41348800,18446744073709551615,18446744073709551615,1,64.129176,23.107538,41.100545,0.069115,0.322538,2437501.000000,43549.680856,583.341566,4.482355,0.000000,2.830961,284815,345244,3906,451,72,38,28,36,5,0,0,0,0,0,0,0,0,0,0,0,0
PROCESSOR,CPU 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.991608,21.840424,37.230090,0.276461,0.276461,2437501.000000,9435.830045,,,,
PROCESSOR,CPU 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.626674,25.157957,40.547623,0.000000,0.552922,2437501.000000,12888.600242,,,,
PROCESSOR,CPU 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.640364,21.932578,44.786693,0.000000,0.184307,2437501.000000,11527.497623,,,,
PROCESSOR,CPU 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.258059,23.499191,41.837775,0.000000,0.276461,2437501.000000,9697.752947,,,,
WORKER,Worker 5,512 B; 0% Read; 0% random,,,1,18704.579653,0.000000,18704.579653,9.133096,0.000000,9.133096,9.576745,0.000000,9.576745,18704.579653,0.000000,0.053121,0.000000,0.053121,0.053121,0.000000,7.003484,0.000000,7.003484,7.003484,0.000000,0,0,0,0,162456064,0,317297,0,-1,0,41084092,41084092,0,0,17071,17071,0,41348791,18446744073709551615,18446744073709551615,1,,,,,,2437501.000000,,,,,,142380,173083,1527,233,33,19,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0
NETWORK,MYU:192.168.254.1 >> MYU:192.168.254.1,,,,,18704.579653,0.000000,18704.579653,9.133096,0.000000,9.133096,9.576745,0.000000,9.576745,18704.579653,0.000000,0.053121,0.000000,0.053121,0.053121,0.000000,7.003484,0.000000,7.003484,7.003484,0.000000,0,0,0,0,162456064,0,317297,0,-1,0,41084092,41084092,0,0,17071,17071,0,41348791,18446744073709551615,18446744073709551615,1,,,,,,2437501.000000,,,,,,142380,173083,1527,233,33,19,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0
WORKER,[Worker 5],512 B; 0% Read; 0% random,,,1,18704.634531,18704.634531,0.000000,9.133122,9.133122,0.000000,9.576773,9.576773,0.000000,18704.634531,0.000000,0.053172,0.053172,0.000000,0.053172,0.000000,14.729020,14.729020,0.000000,14.729020,0.000000,0,0,0,162456576,0,317298,0,0,-1,41124222,0,41124222,0,35902,0,35902,0,41348800,18446744073709551615,18446744073709551615,1,,,,,,2437501.000000,,,,,,142435,172161,2379,218,39,19,15,27,5,0,0,0,0,0,0,0,0,0,0,0,0
'Time Stamp
2018-11-18 21:45:10:885
'End Test
'Test Type,Test Description
0,
'Version
1.1.0
'Time Stamp
2018-11-18 21:45:59:701
'Access specifications
'Access specification name,default assignment
512 B; 100% Read; 0% random,0
'size,% of size,% reads,% random,delay,burst,align,reply
512,100,100,0,0,1,0,0,
'End access specifications
'Test Type,Test Description
0,
'Version
1.1.0
'Time Stamp
2018-11-18 21:47:47:636
'Access specifications
'Access specification name,default assignment
512 B; 100% Read; 0% random,0
'size,% of size,% reads,% random,delay,burst,align,reply
512,100,100,0,0,1,0,0,
'End access specifications
'Test Type,Test Description
0,
'Version
1.1.0
'Time Stamp
2018-11-18 22:04:36:547
'Access specifications
'Access specification name,default assignment
512 B; 100% Read; 0% random,0
'size,% of size,% reads,% random,delay,burst,align,reply
512,100,100,0,0,1,0,0,
'End access specifications
'Results
